"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-10",,,"0.24",,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-11",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-12",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-13",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-14",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-15",,,"0.33",,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-16",,,"0.04",,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-17",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-18",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-19",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-20",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-21",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-22",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-23",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-24",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-25",,,"0.05",,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-26",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-27",,,"0.00",,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-28",,,"0.00",,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-29",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-11-30",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-12-01",,,"0.00",,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-12-02",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-12-03",,,"0.00","0.0",
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2015-12-04",,,"0.37",,
