"4752883",3,"2","F",41,"0","6","M","G","0"
"4752883",3,"2","-",5,"0","5","M","Q","0"
"4752887",1,"2","M",28,"0","3","M","G","0"
"4752887",2,"2","F",23,"0","3","M","G","0"
"4752887",2,"2","F",998,"0","6","P","G","0"
"4752942",2,"1","M",59,"4","1","L","G","0"
"4752958",1,"2","M",27,"0","3","M","G","0"
"4752958",2,"2","F",19,"3","6","M","G","0"
"4752958",2,"2","M",18,"0","3","M","G","0"
"4753283",2,"1","F",31,"4","1","M","G","0"
"4753295",1,"2","F",19,"0","3","P","G","0"
"4753295",2,"2","M",18,"4","6","P","G","0"
"4753295",2,"2","F",18,"4","4","P","G","0"
"4753295",2,"2","M",18,"0","3","M","G","0"
"4753303",1,"2","F",23,"0","3","L","G","0"
"4753303",1,"2","M",5,"0","7","P","Q","0"
"4753311",2,"1","M",42,"4","1","M","G","0"
"4753319",1,"1","M",20,"4","1","M","G","0"
"4753682",1,"2","M",28,"0","3","M","G","0"
"4753682",2,"1","F",75,"4","1","M","G","0"
"4753682",2,"2","F",44,"0","3","M","G","0"
"4753686",2,"2","M",28,"0","3","M","G","0"
"4753690",1,"1","M",43,"4","1","M","G","0"
"4753694",1,"1","M",16,"3","1","N","G","0"
"4753694",4,"2","M",11,"3","4","N","G","0"
"4753694",4,"2","F",14,"0","3","M","G","0"
"4753702",3,"2","F",31,"0","3","M","G","0"
"4753702",4,"2","M",34,"0","3","M","G","0"
"4753731",1,"2","F",54,"0","3","M","G","0"
"4753731",2,"2","F",55,"0","3","M","G","0"
"4753735",1,"2","M",11,"0","3","M","G","0"
"4753735",1,"2","F",27,"0","6","P","G","0"
"4753735",1,"2","M",9,"0","4","P","G","0"
"4753743",2,"1","M",42,"4","1","M","G","0"
"4753751",2,"2","M",44,"0","3","M","G","0"
"4753755",2,"2","F",23,"0","3","M","G","0"
"4753755",2,"2","F",3,"0","5","P","Q","0"
"4753798",1,"1","F",28,"4","1","M","G","3"
"4753802",1,"1","M",21,"4","1","M","G","0"
"4753802",2,"2","F",998,"4","3","M","G","0"
"4753802",2,"2","F",998,"0","6","M","G","0"
"4753810",1,"1","M",52,"3","1","M","C","0"
"4753810",2,"1","M",57,"4","1","M","G","0"
"4753814",1,"1","M",53,"3","1","G","-","0"
"4753814",1,"2","F",55,"4","3","G","-","0"
"4753814",1,"2","M",3,"0","6","G","-","0"
"4753814",1,"2","F",1,"0","5","Q","-","0"
"4753818",2,"2","M",30,"0","3","M","G","0"
"4754220",2,"4","F",48,"3","1","A","-","1"
"4755777",1,"2","F",24,"0","3","M","G","0"
"4755789",2,"2","F",10,"0","4","P","Q","0"
"4755789",2,"2","M",7,"0","6","P","Q","0"
"4755789",2,"2","M",40,"0","3","M","G","0"
"4755793",2,"1","F",22,"4","1","M","G","0"
"4755805",1,"2","M",35,"0","3","L","G","0"
"4755809",1,"2","F",26,"0","3","M","G","0"
"4755821",2,"2","M",49,"0","3","N","G","0"
"4755821",2,"2","F",8,"0","4","P","G","0"
"4755825",1,"1","F",34,"4","1","M","G","0"
"4755829",1,"1","F",45,"4","1","M","G","0"
"4755891",2,"1","F",54,"4","1","M","G","0"
"4757523",1,"2","F",0,"0","6","M","Q","0"
"4757523",2,"2","F",55,"0","3","M","G","0"
"4757523",2,"2","F",7,"4","6","M","G","0"
"4757523",2,"1","M",55,"4","1","-","-","3"
"4757527",1,"4","F",28,"4","1","P","V","1"
"4757531",2,"4","M",14,"4","9","-","-","3"
"4757555",2,"1","F",38,"4","1","G","-","0"
"4757555",2,"2","M",17,"4","3","G","-","0"
"4757555",2,"2","M",15,"4","4","G","-","0"
"4757583",1,"1","M",44,"3","1","L","G","0"
"4757583",2,"1","M",33,"4","1","L","G","0"
"4984722",1,"2","F",23,"0","3","L","G","0"
"4984722",1,"2","F",24,"0","6","L","G","0"
"4984738",1,"2","F",81,"0","3","M","G","0"
"4984738",1,"2","F",82,"0","6","M","G","0"
"4984742",2,"1","-",24,"4","1","-","-","3"
"4984746",2,"3","M",14,"2","9","-","-","3"
"4984750",2,"1","M",26,"4","1","M","G","0"
"4984758",1,"2","F",14,"4","3","B","G","0"
"4984758",2,"2","F",75,"3","3","L","G","0"
"4984758",2,"2","F",51,"0","6","L","G","0"
"4984762",1,"1","M",41,"4","1","L","B","0"
"4984766",1,"1","F",40,"4","1","M","G","0"
"4984766",1,"2","F",3,"0","9","M","B","0"
"4984770",1,"1","M",56,"3","1","M","G","0"
"4984774",1,"2","M",28,"0","3","M","B","0"
"4984782",1,"1","F",51,"4","1","M","G","0"
"4984782",2,"1","F",27,"4","1","L","G","0"
"4984783",2,"1","F",44,"4","1","M","G","0"
"4984790",1,"2","M",16,"0","6","-","G","0"
"4984790",1,"2","M",18,"0","3","L","G","0"
"4984790",2,"4","M",15,"3","1","-","-","3"
"4984794",3,"2","M",19,"4","3","M","G","0"
"4984795",1,"1","F",93,"4","1","M","G","0"
"4985150",2,"2","F",18,"4","3","M","G","0"
"4990315",1,"2","M",19,"3","3","L","G","0"
"4990315",1,"1","M",25,"4","1","L","G","0"
"4990315",2,"1","M",62,"1","1","L","H","0"
"4990315",2,"2","F",39,"3","3","L","B","0"
"4990412",1,"1","F",65,"1","1","L","G","0"
"4990412",1,"2","F",65,"2","3","L","G","0"
"4990412",2,"1","M",22,"4","1","L","G","0"
"4990493",1,"3","M",18,"1","9","-","-","3"
"4990493",2,"2","F",32,"0","3","-","G","0"
"4990493",2,"2","F",12,"0","4","P","G","0"
"4990493",2,"2","F",11,"0","5","P","C","0"
"4990493",2,"2","F",13,"0","6","P","G","0"
"4990667",2,"3","M",59,"1","9","-","-","3"
"4990956",1,"1","M",37,"1","1","L","H","0"
"4990957",1,"4","F",22,"1","1","P","V","0"
"4990987",1,"3","F",26,"1","0","P","-","0"
"4990987",2,"2","M",47,"0","3","M","G","0"
"4990987",3,"3","M",19,"2","0","P","-","0"
"4991032",1,"1","M",50,"1","1","M","G","0"
"4991032",2,"1","M",27,"4","1","L","G","0"
"5011777",2,"1","F",63,"4","1","M","G","0"
"5013371",2,"2","M",42,"0","4","A","G","0"
"5013371",2,"2","M",38,"0","6","A","G","0"
"5013371",2,"2","M",50,"0","3","A","G","0"
"5024988",2,"2","F",19,"0","3","M","G","0"
"5025190",1,"4","F",58,"4","1","P","A","0"
"5040444",1,"2","M",36,"0","3","M","G","0"
"5040444",1,"2","M",46,"0","4","M","G","0"
"5040444",1,"2","M",39,"0","6","M","G","0"
"5040444",2,"2","F",56,"0","3","M","G","0"
"5040444",2,"2","M",8,"0","5","M","G","0"
"5040444",2,"2","F",3,"0","4","M","Q","0"
"5040452",1,"2","F",29,"0","3","M","G","0"
"5042279",1,"2","F",2,"0","6","M","E","0"
"5042279",2,"1","F",44,"4","1","L","G","0"
"5042311",1,"2","M",40,"0","3","M","B","0"
"5042311",1,"2","F",42,"0","2","M","B","0"
"5042315",2,"1","F",21,"4","1","M","G","0"
"5042349",1,"2","F",18,"0","3","M","G","0"
"5042349",1,"1","F",34,"4","1","M","G","0"
"5042349",3,"1","M",25,"4","1","M","G","0"
"5042349",4,"1","F",61,"4","1","M","G","0"
